"belligerent","battle_name","state","killed","wounded","missing","casualties","cavalry","start_date","end_date"
"Confederate","Roanoke Island, N. C","NC","23","58","2527","2608",0,"1862-2-8","1862-2-8"
"Confederate","Fort Donelson, Tenn","TN","466","1534","13829","15829",0,"1862-2-14","1862-2-16"
"Confederate","New Berne, N. C","NC","64","101","413","578",0,"1862-3-14","1862-3-14"
"Confederate","Kernstown, Va","VA","80","375","263","718",0,"1862-3-23","1862-3-23"
"Confederate","Shiloh, Tenn","TN","1723","8012","959","10694",0,"1862-4-6","1862-4-7"
"Confederate","Camden, N. C","NC","6","19","3","28",0,"1862-4-19","1862-4-19"
"Confederate","Williamsburg, Va","VA","288","975","297","1560",0,"1862-5-5","1862-5-5"
"Confederate","West Point, Va","VA","8","40","0","48",0,"1862-5-7","1862-5-7"
"Confederate","McDowell, Va","VA","75","423","0","498",0,"1862-5-8","1862-5-8"
"Confederate","Front Royal; Winchester, Va","VA","39","172","3","214",0,"1862-5-23","1862-5-25"
"Confederate","Hanover C. H., Va","VA","73","192","0","265",0,"1862-5-27","1862-5-27"
"Confederate","Fair Oaks, Va","VA","980","4749","405","6134",0,"1862-5-31","1862-5-31"
"Confederate","Harrisonburg, Va","VA","17","50","3","70",0,"1862-6-6","1862-6-6"
"Confederate","Cross Keys, Va","VA","56","392","47","495",0,"1862-6-8","1862-6-8"
"Confederate","Port Republic, Va","VA","78","533","4","615",0,"1862-6-9","1862-6-9"
"Confederate","Secessionville, S. C","SC","52","144","8","204",0,"1862-6-16","1862-6-16"
"Confederate","Oak Grove (Seven Days Battle)","VA","74","348","19","441",0,"1862-6-25","1862-6-25"
"Confederate","Mechanicsville (Seven Days Battle)","VA","230","1077","58","1365",0,"1862-6-26","1862-6-26"
"Confederate","Gaine's Mill","VA","1477","6903","371","8751",0,"1862-6-27","1862-6-27"
"Confederate","Garnett's Farm, and Golding's Farm","VA","78","364","19","461",0,"1862-6-28","1862-6-28"
"Confederate","Savage Station and Peach Orchard","VA","106","494","26","626",0,"1862-6-29","1862-6-29"
"Confederate","White Oak Swamp and Glendale (or Charles City Cross Roads)","VA","610","2852","153","3615",0,"1862-6-30","1862-6-30"
"Confederate","Malvern Hill","VA","904","4224","227","5355",0,"1862-7-1","1862-7-1"
"Confederate","Baton Rouge, La","LA","84","313","56","453",0,"1862-8-5","1862-8-5"
"Confederate","Cedar Mountain, Va","VA","223","1060","31","1314",0,"1862-8-9","1862-8-9"
"Confederate","Richmond, Ky","KY","78","372","1","451",0,"1862-8-30","1862-8-30"
"Confederate","Manassas, Va","VA","1481","7627","89","9197",0,"1862-8-21","1862-9-2"
"Confederate","Fayetteville, W. Va","WV","16","32","0","48",0,"1862-9-10","1862-9-10"
"Confederate","Maryland Campaign, Md","MD","1886","9348","1367","12601",0,"1862-9-12","1862-9-20"
"Confederate","Munfordville, Ky","KY","40","211","0","251",0,"1862-9-14","1862-9-17"
"Confederate","Iuka, Miss","MS","86","408","199","693",0,"1862-9-19","1862-9-19"
"Confederate","Corinth, Miss","MS","505","2150","2183","4838",0,"1862-10-3","1862-10-5"
"Confederate","Chaplin Hills, Ky","KY","510","2635","251","3396",0,"1862-10-8","1862-10-8"
"Confederate","Pocotaligo, S. C","SC","21","124","18","163",0,"1862-10-22","1862-10-22"
"Confederate","Coffeeville, Miss","MS","7","43","10","60",0,"1862-12-5","1862-12-5"
"Confederate","Hartsville, Tenn","TN","21","104","14","139",0,"1862-12-7","1862-12-7"
"Confederate","Prairie Grove, Ark","AR","164","817","0","981",0,"1862-12-7","1862-12-7"
"Confederate","Kinston, Whitehall, N. C","NC","71","268","400","739",0,"1862-12-12","1862-12-17"
"Confederate","Fredericksburg, Va","VA","596","4068","651","5315",0,"1862-12-13","1862-12-13"
"Confederate","Chickasaw Bluffs, Miss","MS","57","120","10","187",0,"1862-12-26","1862-12-29"
"Confederate","Stone's River, Tenn","TN","1294","7945","1027","10266",0,"1862-12-31","1862-12-31"
"Confederate","Springfield; Hartsville, Mo","MO","32","201","29","262",0,"1863-1-2","1863-1-11"
"Confederate","Deserted House, Va","VA","8","31","0","39",0,"1863-1-30","1863-1-30"
"Confederate","Thompson's Station, Tenn","TN","56","289","12","357",0,"1863-3-5","1863-3-5"
"Confederate","Kelly's Ford, Va","VA","11","88","34","133",0,"1863-3-17","1863-3-17"
"Confederate","Magnolia Hills, Miss","MS","68","380","384","832",0,"1863-5-1","1863-5-1"
"Confederate","Chancellorsville, Va","VA","1665","9081","2018","12764",0,"1863-5-1","1863-5-4"
"Confederate","Raymond, Miss","MS","73","251","190","514",0,"1863-5-12","1863-5-12"
"Confederate","Champion's Hill, Miss","MS","380","1018","2441","3839",0,"1863-5-16","1863-5-16"
"Confederate","Milliken's Bend, La","LA","101","285","266","652",0,"1863-6-6","1863-6-6"
"Confederate","Beverly Ford, Va","VA","51","250","132","433",0,"1863-6-9","1863-6-9"
"Confederate","Middleburg; Upperville, Va","VA","65","279","166","510",0,"1863-6-10","1863-6-24"
"Confederate","Winchester, Va","VA","47","219","3","269",0,"1863-6-13","1863-6-13"
"Confederate","Hanover, Pa","PA","9","50","58","117",0,"1863-6-30","1863-6-30"
"Confederate","Gettysburg, Pa","PA","2592","12706","5150","20448",0,"1863-7-1","1863-7-3"
"Confederate","Helena, Ark","AR","173","645","772","1590",0,"1863-7-4","1863-7-4"
"Confederate","Hagerstown; Williamsport, Md","MD","8","65","181","254",0,"1863-7-6","1863-7-6"
"Confederate","Jackson, Miss","MS","71","504","765","1340",0,"1863-7-9","1863-7-16"
"Confederate","Funkstown; Boonsborough, Md","MD","26","130","60","216",0,"1863-7-12","1863-7-12"
"Confederate","Plain's Store, La","LA","12","36","0","48",0,"1863-5-21","1863-5-21"
"Confederate","Port Hudson, La","LA","176","447","0","623",0,"1863-5-25","1863-7-9"
"Confederate","Morris Island, S. C.","SC","40","124","127","291",0,"1863-7-10","1863-7-10"
"Confederate","Fort Wagner, S. C.","SC","6","6","0","12",0,"1863-7-11","1863-7-11"
"Confederate","Fort Wagner, S. C.","SC","36","140","5","181",0,"1863-7-18","1863-7-18"
"Confederate","Charleston Harbor, S. C.","SC","75","404","27","506",0,"1863-7-19","1863-9-6"
"Confederate","Rocky Gap, Va","VA","20","129","13","162",0,"1863-8-26","1863-8-27"
"Confederate","Chickamauga, Ga","GA","2068","13085","1303","16456",0,"1863-9-19","1863-9-20"
"Confederate","Cavalry Affairs, Va","VA","74","477","89","640",0,"1863-10-10","1863-10-21"
"Confederate","Bristoe Station, Va","VA","136","797","445","1378",0,"1863-10-14","1863-10-14"
"Confederate","Wauhatchie, Tenn","TN","33","306","58","397",0,"1863-10-27","1863-10-27"
"Confederate","Droop Mountain, Va","VA","","","","275",0,"1863-11-6","1863-11-6"
"Confederate","Kelly's Ford, Va","VA","","","","359",0,"1863-11-7","1863-11-7"
"Confederate","Rappahannock Station, Va","VA","","","","1674",0,"1863-11-7","1863-11-7"
"Confederate","Missionary Ridge, Tenn","TN","361","2160","4146","6667",0,"1863-11-23","1863-11-25"
"Confederate","Mine Run Campaign, Va.","VA","110","570","65","745",0,"1863-11-26","1863-11-30"
"Confederate","Knoxville, Tenn","TN","198","850","248","1296",0,"1863-11-14","1863-11-30"
"Confederate","Fort Sanders, Tenn","TN","129","458","226","813",0,"1863-11-29","1863-11-29"
"Confederate","Olustee, Fla","FL","93","847","6","946",0,"1864-2-20","1864-2-20"
"Confederate","Marks's Mills, Ark","AR","41","108","144","293",0,"1864-4-25","1864-4-25"
"Confederate","Jenkins's Ferry, Ark.","AR","86","356","1","443",0,"1864-4-30","1864-4-30"
"Confederate","Rocky Face Ridge; Resaca (Atlanta Campaign)","GA","444","2828","1984","5256",0,"1864-5-7","1864-5-20"
"Confederate","New Hope Church; Dallas (Atlanta Campaign)","GA","309","1921","1352","3582",0,"1864-5-20","1864-6-4"
"Confederate","Kenesaw Mountain (Atlanta Campaign)","GA","468","3480","2394","6342",0,"1864-6-4","1864-7-4"
"Confederate","Peach Tree Creek; Atlanta (Atlanta Campaign)","GA","1341","7500","5361","14202",0,"1864-7-4","1864-7-31"
"Confederate","Utoy Creek; Jonesboro (Atlanta Campaign)","GA","482","3223","1641","5346",0,"1864-7-31","1864-9-1"
"Confederate","Cavalry Engagements (Atlanta Campaign)","GA","73","341","251","665",0,"1864-5-6","1864-5-31"
"Confederate","New Market, Va","VA","34","484","13","531",0,"1864-5-15","1864-5-15"
"Confederate","Brice's Cross Roads, Miss.","MS","96","396","0","492",0,"1864-6-10","1864-6-11"
"Confederate","Johns Island; James Island, S. C.","SC","33","92","0","125",0,"1864-7-1","1864-7-11"
"Confederate","Tupelo, Miss","MS","210","1049","49","1308",0,"1864-7-13","1864-7-15"
"Confederate","Opequon, Va","VA","226","1567","1818","3611",0,"1864-9-19","1864-9-19"
"Confederate","Fisher's Hill, Va.","VA","30","210","995","1235",0,"1864-9-22","1864-9-22"
"Confederate","Allatoona Pass, Ga","GA","127","456","290","873",0,"1864-10-5","1864-10-5"
"Confederate","Cedar Creek, Va","VA","320","1540","1050","2910",0,"1864-10-19","1864-10-19"
"Confederate","Averasboro, N. C","NC","108","540","217","865",0,"1865-3-16","1865-3-16"
"Confederate","Bentonville, N. C","NC","239","1694","673","2606",0,"1865-3-19","1865-3-19"
