battle_id,event_type,state,year,battle_name,start_date,end_date,text,casualties,killed,wounded,killed_wounded,missing_captured
,,NB,1864,"Skirmish, Fort Cottonwood",Sept. 20,September-16,"IOWA--7th Cavalry (Detachment). Union loss, 3 wounded.",,,,,
,,NB,1864,Operations against Indians in Nebraska and Colorado Territory,Sept. 29,Nov. 30.,IOWA--7th Cavalry (1st Battalion). NEBRASKA--1st Cavalry.,,,,,
,,NB,1864,"Skirmish, Plum Creek",Dec. 8,December-16,Indian attack on Train.,,,,,
,,NB,1865,"Action, Mud Springs Station",Feb. 4-6,February-16,IOWA--7th Cavalry (Detachment). OHIO---11th Cavalry.,,,,,
,,NB,1865,"Action, Rush Creek",Feb. 8-9,February-16,IOWA--7th Cavalry (Detachment). OHIO--11th Cavalry.,,,,,
,,NB,1865,Operations about Fort Laramie,April-16,May 27.,KANSAS--11th Cavalry.,,,,,
,,NB,1865,Scout from Dakota City.,April-16,April-16,NEBRASKA--1st Cavalry (Detachment).,,,,,
,,NB,1865,Scout from Dakota City to Middle Bow River,April-16,April-16,NEBRASKA--1st Cavalry (Detachment).,,,,,
,,NB,1865,Scout from Fort Laramie to Wind River,May-16,May-16,IOWA--7th Cavalry (Detachment). NEBRASKA--1st Cavalry (Detachment). OHIO---11th Cavalry (Detachment).,,,,,
,,NB,1865,"Affair, Mullahla's Station",May-16,May-16,Attack on Wagon Train.,,,,,
,,NB,1865,"Scout from Plum Creek to Midway Station, Wind River ",May-16,May-16,NEBRASKA--1st Cavalry (Detachment).,,,,,
,,NB,1865,Scout from Fort Kearney to Little Blue River ,May-16,June-16,NEBRASKA--1st Cavalry (Detachment).,,,,,
,,NB,1865,Skirmish near Fort Kearney,May-16,May-16,UNITED STATES---gd Volunteers (Detachment).,,,,,
,,NB,1865,Scout from Cottonwood,May-16,May-16,NEBRASKA--1st Cavalry (1st Battalion).,,,,,
,,NB,1865,Scout from Fort Kearney,May-16,May-16,"NEBRASKA---Omaha Scouts (Co. ""A"").",,,,,
,,NB,1865,"Skirmish, Sweetwater",May-16,May-16,OHIO--11th Cavalry (Detachment).,,,,,
,,NB,1865,Scout from Plum Creek,May-16,May-16,"NEBRASKA--1st Cavalry (Detachment Co. ""A"").",,,,,
,,NB,1865,"Operations on Platte and Sweetwater Rivers, Overland Stage Route",May-16,June 5.,OHIO--11th Cavalry (Detachment).,,,,,
,,NB,1865,"Skirmish, Sweetwater Station",May-16,May-16,OHIO--11th Cavalry (Detachment).,,,,,
,,NB,1865,"Skirmish, Sweetwater Station",June-16,June-16,OHIO---11th Cavalry (Detachment).,,,,,
,,NB,1865,Expedition to Platte and Niobrara Rivers,June-16,July 5.,NEBRASKA--1st Cavalry (Detachment).,,,,,
,,NV,1862,"Expedition from Fort Ruby to Camp Douglass, Utah",Sept. 30,Oct. 29.,California--2d Cavalry (Detachment).,,,,,
,,NV,1862,"Affair, Humboldt River",Oct. 11,October-16,CALIFORNIA--2d Cavalry (2 Cos.).,,,,,
,,NV,1862,"Affair, Humboldt River",Oct. 15,October-16,CALIFORNIA--2d Cavalry (2 Cos.).,,,,,
,,NV,1862,Scouts from Fort Churchill to Honey Lake Valley. Cali,Nov. 3,November-16,CALIFORNIA--3d Infantry.,,,,,
,,NV,1862,Expedition from Fort Ruby to Sierra Nevada Mountains-,Nov. 22,November-16,"CALIFORNIA--3d Infantry (Co. ""F"").",,,,,
,,NV,1863,Skirmish. Platte River Bridge,April-16,April-16,OHIO---11th Cavalry (Detachment).,,,,,
,,NV,1863,"Affair, Canon Station",June-16,June-16,CALIFORNIA--3d Infantry (3 men).,,,,,
,,NV,1864,Expedition from Fort Churchill to Humboldt River,June-16,Aug. 9.,"NEVADA--1st Cavalry (Co. ""D"").",,,,,
,,NV,1864,"Skirmish, Elk Creek",Aug. 15,August-16,NEBRASKA--1st Veteran Cavalry.,,,,,
,,NV,1865,Expedition from Fort Churchill to Pyramid and Walker's Lakes,March-16,March-16,"NEVADA--1st Cavalry (Co. ""D"").",,,,,
,,NV,1865,"Skirmish, Mud Lake",March-16,March-16,"NEVADA--1st Cavalry (Co. ""D"").",,,,,
,,NV,1865,Affair. Walker's Lake,March-16,March-16,"NEVADA--1st Cavalry (Co. ""C"").",,,,,
,,NV,1865,Fort Churchill to Carson Lake and Truckee and Humboldt Rivers-,May-16,June 15.,"NEVADA--1st Cavalry (Co. ""E""); 1st Infantry (Co. ""C"").",,,,,
,,NV,1865,"Skirmish, Austin",May-16,May-16,NEVADA--1st Infantry (Detachment).,,,,,
,,NV,1865,Expedition from Fort Ruby to Humboldt River ,May-16,June 15.,"NEVADA--1st Infantry (Co. ""B"").",,,,,
,,NV,1865,Expedition from Dun Glen to Fairbank's Station ,June-16,June-16,"CALIFORNIA--2d Cavalry (Co. ""B"").",,,,,
,,NM,1861,"Skirmish, Cimarron River",Jan. 2,January-16,Col. Crittenden and U.S. Riflemen.,,,,,
,,NM,1861,Abandonment of Fort McLane,July-16,July-16,U.S. Forces.,,,,,
,,NM,1861,Abandonment of Fort Breckenridge,July-16,July-16,U.S. Forces.,,,,,
,,NM,1861,Abandonment of Fort Buchanan,July-16,July-16,U.S. Forces.,,,,,
,,NM,1861,"Skirmish, Mesilla",July-16,July-16,"UNITED STATES---Mounted Rifles (2 Cos.); 7th Infantry. Union loss, 3 killed, 6 wounded. Total, 9.",,,,,
,,NM,1861,Abandonment of Fort Fillmore.,July-16,July-16,U.S. Forces.,,,,,
,,NM,1861,Surrender of San Augustine Springs,July 27.,July 27.,UNITED STATES---Mounted Rifles (2 Cos.), 7th Infantry.,,,,
,,NM,1861,"Surrender, Fort Stanton",Aug. 2,August-16,U. S. Forces.,,,,,
,,NM,1861,"Skirmish, Fort Craig",Aug. 23,August-16,NEW MEXICO--Hubbell's Cavalry Company.,,,,,
,,NM,1861,Operations about Fort Stanton,Aug. 25,Sept. 8.,Confederate forces with Indians.,,,,,
,,NM,1861,"Skirmish, Canada Alamosa",Sept. 25,September-16,NEW MEXICO--Mink's Cavalry Company.,,,,,
,,NM,1861,"Skirmish, Fort Craig",Sept. 26,September-16,NEW MEXICO--Hubbell's Cavalry Company.,,,,,
,,NM,1861,Skirmish near Fort Thorne,Sept. 26,September-16,"UNITED STATES---3d Cavalry Companies ""C,"" ""G,"" ""K.""",,,,,
,,NM,1861,Operations about Camp Robledo,Sept. 30,Oct. 7.,Confederate Forces against Indians.,,,,,
,,NM,1861,"Skirmish, Alamosa, near Fort Craig",Oct. 4,October-16,NEW MEXICO--Mink's Cavalry Company. UNITED STATES--Regulars.,,,,,
,,NM,1862,"Skirmish, Fort Craig",Feb. 20,February-16,COLORADO--2d Infantry.,,,,,
,,NM,1862,"Engagement, Valverde",Feb. 21,February-16,"COLORADO--Dodd's Company Volunteers. NEW MEXICO--Graydon's Company Volunteers. UNITED STATES --1st (Cos. ""D."" :'G""); 2d (Co. ""G"") and 3d (Cos. ""C,"" ""D,"" ""G,"" ""I,"" ""K"") Cavalry; Hall's and McRea's Batteries Arty.; 5th (Cos. ""B,"" ""D,"" ""F,"" ""I,"" ""K,""); 7th (Cos. ""C,' ""F,"" ""H"") and 10th (Cos. ""A,"" ""F,"" ""H"") Infantry. Union loss, 68 killed, 160 wounded. Total, 228.",,,,,
,,NM,1862,Evacuation of Albuquerque and Santa Fe,March-16,March-16,"COLORADO--Ford's Company Volunteers.    UNITED STATES--2d Cavalry (1 Co.); 3d Cavalry (Co. ""E""); 5th Infantry (1 Co.).",,,,,
,,NM,1862,Capture of Cubero,March-16,March-16,(No Reports.),,,,,
,,NM,1862,"Skirmish, Apache Canon, near Santa Fe",March-16,March-16,"COLORADO--1st Cavalry (Co. ""C""); 1st Infantry (Cos. ""A."" ""D,"" ""E""). UNITED STATES--1st (Cos. ""B,"" ""G"") and 3d (Cos. ""C,"" ""D,"" ""E,"" ""K"") Cavalry. Union losses included in Glorietta, March 28.",,,,,
,,NM,1862,"Engagement, Glorietta, or Pigeon Ranch",March-16,March-16,"COLORADO--1st Infantry (Battalion). NEW MEXICO--4th and 5th Infantry (Detachment). UNITED STATES --1st and 3d Cavalry (Detachments); Ritter's and Clafflin's Batteries Arty. Union loss, 32 killed. 75 wounded, 35 missing. Total, 142 (Includes Apache Canon, March 26.)",,,,,
,,NM,1862,"Skirmish, Comanche Canyon or Pass",March-16,March-16,Confederate Forces with Indians.,,,,,
,,NM,1862,"Skirmish, Albuquerque",April-16,April-16,COLORADO---2d Infantry. NEW MEXICO--Graydon's Spy Company. UNITED STATES---3d Cavalry.,,,,,
,,NM,1862,Pursuit of Confederates,April-16,April-16,UNITED STATES--3d Cavalry.,,,,,
,,NM,1862,"Action, Peralta",April-16,April-16,COLORADO--1st and 2d Cavalry. NEW MEXICO--2d Infantry. UNITED STATES---5th Infantry.,,,,,
,,NM,1862,"Affair, Socorro",April-16,April-16,NEW MEXICO--2d Infantry (Detachment).,,,,,
,,NM,1862,"Affair, Peraje",May-16,May-16,UNITED STATES--3d Cavalry.,,,,,
,,NM,1862,Skirmish near Fort Craig,May-16,May-16,UNITED STATES--3d Cavalry. Union loss. 3 wounded.,,,,,
,,NM,1862,"Skirmish, Apache Canon",July-16,July-16,COLORADO--2d Cavalry.,,,,,
,,NM,1862,Expedition from Fort Union to Canadian River and Utah Creek ,Oct. 29,Nov. 25.,"COLORADO--2d Infantry (Co. ""C"").",,,,,
,,NM,1863,"Skirmish, Pinos Altos Mines",Jan. 29,January-16,CALIFORNIA--1st (1 Co.) and 5th Infantry.,,,,,
,,NM,1863,"Skirmish, Bonito Rio",March-16,March-16,"CALIFORNIA--1st Cavalry (Cos. ""A,"" ""B."" ""L"").",,,,,
,,NM,1863,"Skirmish, Apache Pass",April-16,April-16,"CALIFORNIA--5th Infantry (Detachment). Union loss, 1 wounded.",,,,,
,,NM,1863,"Skirmish, Cajou de Arivaypa",May-16,May-16,CALIFORNIA--5th Infantry (Detachment).,,,,,
,,NM,1863,"Skirmish, Jornado del Muerta",June-16,June-16,"NEW MEXICO--1st Cavalry (1 Co.). Union loss, 2 wounded.",,,,,
,,NM,1863,"Skirmish, Warm Springs, Fort McRae.",June-16,June-16,"NEW MEXICO--1st Cavalry (Detachment). Union loss, 2 killed. 6 wounded. Total, 8.",,,,,
,,NM,1863,Skirmish near Fort Craig,July-16,July-16,(No Reports.),,,,,
,,NM,1863,Operations against Navajo Indians,July-16,Aug. 19.,NEW MEXICO--1st Cavalry.,,,,,
,,NM,1863,"Skirmish, Cook's Canon",July-16,July-16,With Indians.,,,,,
,,NM,1863,"Skirmish, Rio Hondo",July-16,July-16,"NEW MEXICO--1st Cavalry (1 Co.). Union loss, 1 killed. 4 wounded. Total, 5.",,,,,
,,NM,1863,"Skirmish, Rio de las Animos",July-16,July-16,CALIFORNIA--1st Infantry.,,,,,
,,NM,1863,"Skirmish, Cook's Canon",July-16,July-16,(No Reports).,,,,,
,,NM,1863,"Skirmish, Concha's Springs",July-16,July-16,"NEW MEXICO--1st Cavalry (1 Co.). Union loss, 2 killed, 3 wounded. Total, 5.",,,,,
,,NM,1863,"Skirmish. Pueblo, Colorado",Aug. 18,August-16,"NEW MEXICO--(3 Cos.): 1st Cavalry. Union loss, 2 killed. 2 wounded. Total, 5.",,,,,
,,NM,1863,Operations against Navajo Indians,Aug. 20,Dec. 16.,CALIFORNIA--1st Cavalry, 1st Infantry.,,,,
,,NM,1863,"Scout from Fort Wingate to Ojo Redondo, Jacob's Well",Sept. 15,Oct. 5.,NEW MEXICO--1st Cavalry. CALIFORNIA--1st Infantry (2 Cos.).,,,,,
,,NM,1863,"Skirmish, Gila River",Nov. 5,November-16,CALIFORNIA--5th Infantry.,,,,,
,,NM,1863,"Skirmish, Riconde Mascaras",Dec. 11,December-16,NEW MEXICO--1st Cavalry.,,,,,
,,NM,1864,"Skirmish, Fort Sumner",Jan. 4,January-16,"CALIFORNIA--2d Infantry (Co. ""B""); Apaches and Citizens.",,,,,
,,NM,1864,"Action, Pecos River, near Fort Sumner.",Jan. 5,January-16,"CALIFORNIA--2d Cavalry (Detachment). UNITED STATES---5th Infantry (Co. ""D"").",,,,,
,,NM,1864,"Skirmish, San Andres Mrs",Jan. 26,January-16,CALIFORNIA--5th Infantry (Detachment).,,,,,
,,NM,1864,Expedition against Navajo Indians,Jan. 6,January-16,NEW MEXICO--1st Cavalry.,,,,,
,,NM,1864,Expedition from Camp Mimbres,Feb. 24,February-16,CALIFORNIA--5th Infantry (Detachment).,,,,,
,,NM,1864,"Skirmish, foot of Sierra Bonito",April-16,April-16,"CALIFORNIA--1st Cavalry (Detachment Co. ""C""); 5th Infantry (Detachments Cos. ""F,"" ""I"").",,,,,
,,NM,1864,"Skirmish, Spencer's Ranch, near Presidio del Norte, Mexico",May-16,May-16,"CALIFORNIA--1st Cavalry (Co. ""A"").",,,,,
,,NM,1864,"Skirmish, Doubtful Canon",May-16,May-16,"CALIFORNIA--5th Infantry (Co. ""I""). Union loss, 1 killed, 6 wounded, 1 missing. Total, 8.",,,,,
,,NM,1864,"Expedition from Fort Craig to Fort Goodwin, Arizona",May-16,Aug. 2.,"CALIFORNIA--1st Cavalry (Co. ""C"").",,,,,
,,NM,1864,"Expedition from Fort Wingate to Gila and St. Francis Rivers, Arizona",May-16,July 13.,"NEW MEXICO--1st Cavalry (Cos. ""B,"" ""F"").",,,,,
,,NM,1864,Expedition to Southwestern Now Mexico,July-16,Oct. 10.,"CALIFORNIA--1st Cavalry; 5th Infantry (Cos. ""A,"" ""B,"" ""F,"" ""G,"" ""M""). <dy_989>",,,,,
,,NM,1864,Scouts from Fort Sumner,Aug. 3,Nov. 4.,"COLORADO--1st Cavalry (Cos. ""A,"" ""B,"" ""G""). NEW MEXICO--1st Cavalry (Co. ""L"").",,,,,
,,NM,1864,Scouts from Fort Union,Aug. 4,Sept. 15.,CALIFORNIA--1st Infantry (Detachment).,,,,,
,,NM,1864,Affair in St. Andres Mts,Aug. 12,August-16,CALIFORNIA--1st Infantry (Detachment),,,,,
,,NM,1864,"Skirmish, Sacramento Mts",Aug. 25,August-16,"NEW MEXICO--1st Cavalry (Co. ""L""). Union loss, 2 killed, 2 wounded. Total, 4.",,,,,
,,NM,1864,Scout on Cimarron River,Sept. 18,Nov. 5.,CALIFORNIA--1st Infantry.,,,,,
,,NM,1864,"Expedition from Fort Craig to Fort Goodwin, Arizona",Oct. 1,Nov. 27,CALIFORNIA--1st Cavalry (Detachment). NEW MEXICO--1st Cavalry (Detachment), 1st Infantry (Detachment).,,,,
,,NM,1864,Scout in Sacramento Mountains,Oct. 13,October-16,"NEW MEXICO--1st Cavalry (Cos. ""A,"" ""L""). UNITED STATES---5th Infantry (Detachment).",,,,,
,,NM,1864,Expedition from Fort Wingate,Nov. 23,Dec. 20.,NEW MEXICO--1st Cavalry.,,,,,
,,NM,1864,"Engagement, St. Vrain's Old Fort, Adobe Fort, Canadian River",Nov. 25,November-16,"CALIFORNIA--1st Cavalry (Cos. ""B,"" ""K,"" ""M""), 1st Infantry (Co. ""A""). NEW MEXICO--1st Cavalry (Cos. ""D,"" ""M""). Union loss, 3 killed, 15 wounded. Total, 18.",,,,,
,,NM,1864,"Skirmish, Red River",Dec. 1,December-16,NEW MEXICO--1st Cavalry.,,,,,
,,NM,1865,Expedition from Fort Wingate to Sierra del Datil,Jan. 2,January-16,NEW MEXICO--1st Cavalry (Detachment).,,,,,
,,NM,1865,Expedition from Fort Wingate to Sierra del Datil,Jan. 11,January-16,NEW MEXICO--1st Cavalry (Detachment).,,,,,
,,NM,1865,Scout from Fort Sumner,March-16,March-16,NEW MEXICO--1st Cavalry (Detachment).,,,,,
,,NM,1865,Scout from Fort Stanton,April-16,April-16,"NEW MEXICO--1st Cavalry (Cos. ""A,"" ""H"").",,,,,
,,NM,1865,Scout from Fort Cummings,April-16,May 13.,"CALIFORNIA--1st Infantry (Co. ""G"").",,,,,
,,NM,1865,"Scout from Fort Sumner.,",May-16,May-16,CALIFORNIA--1st Cavalry (Detachment).,,,,,
,,NM,1865,Scout from Camp Nichols,June-16,June-16,"CALIFORNIA--1st Cavalry (Co. ""F"").",,,,,
,,NM,1865,"Action, Santa Fe Road",June-16,June-16,"CALIFORNIA--1st Cavalry (Co. ""F"").",,,,,
,,NM,1865,Scout from Fort Sumner-to Oscura Mountains ,June-16,June-16,CALIFORNIA--1st Cavalry (Detachment).,,,,,
,,OR,1864,Skirmish. Oregon Mountains,Jan. 28,January-16,"CALIFORNIA--1st Cavalry. Union loss, 4 wounded.",,,,,
,,OR,1864,"Expedition from Camp Lincoln, near Canon City to Harney Lake Valley",March-16,April-16,OREGON--1st Cavalry (Detachment).,,,,,
,,OR,1864,"Skirmish, Harney Lake Valley",April-16,April-16,"OREGON--1st Cavalry (Detachment). Union loss, 3 missing.",,,,,
,,OR,1864,Expedition from Fort Dalles to S. E. Oregon ,April-16,Oct. 26.,OREGON--1st Cavalry (Detachment).,,,,,
,,OR,1864,Expedition from Siletz Block House to Coos Bay,April-16,May 12.,"CALIFORNIA--4th Infantry (Detachment Co. ""D"").",,,,,
,,OR,1864,"Skirmish, Crooked River",May-16,May-16,"OREGON--1st Cavalry. Union loss, 3 killed, 5 wounded. Total, 8.",,,,,
,,OR,1864,"Skirmish, John Day's Road, near Fort Klamath ",June-16,June-16,OREGON--1st Cavalry (Detachment).,,,,,
,,OR,1864,"Skirmish, Harney Lake Valley",Sept. 23,September-16,"OREGON--1st Cavalry (Detachments Cos. ""F"" and ""H"").",,,,,
,,OR,1865,Operations on Canyon City Road,Jan. 1,Nov. 30.,OREGON--1st Cavalry (Detachments).,,,,,
,,UT,1862,Expedition from Camp Douglass to Cache Valley ,Nov. 20,November-16,CALIFORNIA--2d Cavalry.,,,,,
,,UT,1862,"Skirmish, Cache Valley",Nov. 23,November-16,CALIFORNIA--2d Cavalry.,,,,,
,,UT,1863,"Skirmish, Bear River",Jan. 26,January-16,"CALIFORNIA--2d Cavalry (Cos. ""A,"" ""H,"" ""K,"" ""M""); 3d Infantry (Co. ""K""). Union loss, 14 killed, 49 wounded. Total, 63.",,,,,
,,UT,1863,"Engagement, Bear River",Jan. 29,January-16,"CALIFORNIA--2d Cavalry (Cos. ""A,"" ""H,"" ""K,"" ""M""); 3d Infantry (Co. ""K"").",,,,,
,,UT,1863,Expedition from Camp Douglass to Cedar Mountain ,March-16,April 3.,"CALIFORNIA---2d Cavalry (Co. ""A"").",,,,,
,,UT,1863,"Skirmish, Cedar Fort",April-16,April-16,CALIFORNIA--2d Cavalry (Detachment).,,,,,
,,UT,1863,Expedition from Camp Douglass to Spanish Fork,April-16,April-16,"CALIFORNIA--2d Cavalry (Co. ""M"").",,,,,
,,UT,1863,"Skirmish, Spanish Fork Canon",April-16,April-16,"CALIFORNIA--2d Cavalry (Co. ""M"").",,,,,
,,UT,1863,Expedition from Camp Douglass to Spanish Fork,April-16,April-16,"CALIFORNIA--2d Cavalry (Cos. ""A,"" ""I-I"").",,,,,
,,UT,1863,"Skirmish, Pleasant Grove",April-16,April-16,"CALIFORNIA--2d Cavalry (Cos. ""A,"" ""ill"").",,,,,
,,UT,1863,"Skirmish, Spanish Fork Canon",April-16,April-16,"CALIFORNIA--2d Cavalry (Cos. ""A,"" ""H""). Union loss, 1 killed, 4 wounded. Total, 5.",,,,,
,,UT,1863,Expedition from Camp Douglass to Soda,May-16,May-16,"CALIFORNIA--2d Cavalry (Co. ""H""); 3d Infantry (Co. Springs on Bear River ""H"").",,,,,
,,UT,1863,"Skirmish, Government Springs",June-16,June-16,CALIFORNIA--2d Cavalry (Detachment).,,,,,
,,UT,1864,"Expedition from Fort Crittenden to Fort Mojave, Arizona",May-16,June 22.,CALIFORNIA--2d Cavalry (Detachment). ,,,,,
,,WA,1862,Expedition from Fort Walla Walla to Grande Ronde Prairie,Aug. 10,August-16,"OREGON--1st Cavalry (Co. ""E"").",,,,,
,,WA,1862,"Affair, Grande Rondo Prairie",Aug. 14,August-16,"OREGON--1st Cavalry (Co. ""E"").",,,,,
,,WA,1864,Expedition from Fort Walla Walla to Snake River,Feb. 16,February-16,"OREGON--1st Cavalry (Cos. ""A,"" ""E"").",,,,,
,,WA,1864,Expedition from Fort Walla Walla to S.E. Oregon,April-16,Oct. 26.,OREGON--1st Cavalry (Detachment).,,,,,
,,DC,1864,Skirmish near Fort Stevens,July-16,July-16,ILLINOIS---8th Cavalry. MASSACHUSETTS--2d Cavalry, U.S. Fry's Provisional Regiment Cavalry.,,,,
,,DC,1864,Action at Fort Stevens and along Northern Defences of Washington,July-16,July-16,"DISTRICT OF COLUMBIA--2d Infantry. ILLINOIS---8th Cavalry. MAINE----1st Heavy Arty.; 1st Battery Light Arty.; 7th Infantry. MASSACHUSETTS--2d Cavalry; 37th Infantry. MICHIGAN--7th Cavalry; 13th Battery Light Arty. NEW YORK--25th Cavalry (Dismounted); 9th Heavy Arty.; 43d, 49th, 62d, 77th, 114th, 122d and 153d Infantry. OHIO--Battery ""L,"" 1st Light Arty.; 147th, 150th and 151st Infantry. PENNSYLVANIA--2d Provisional Heavy Arty.; 23d, 61st, 82d, 93d, 98th, 102d and 139th Infantry. RHODE ISLAND--2d Infantry. VERMONT--3d and 4th Infantry. WISCONSIN--1st Heavy Arty. (Co. ""A""). UNITED STATES--Batteries ""I"" and ""L."" 2d Arty.; 6th, 7th, 9th and 12th Regiments Veteran Reserve Corps; Fry's Provisional Cavalry Regiment; Marines, Convalescents and Citizens. Union  loss, 54 killed. 319 wounded. Total, 373.",,,,,
,,DC,1864,"Skirmish, Fort Reno",July-16,July-16,MASSACHUSETTS---2d Cavalry.,,,,,
,,IL,1864,"Riot, Charleston, Coles County",March-16,March-16,"ILLINOIS--54th Infantry. Loss, 2 killed, 8 wounded. Total, 10.",,,,,
,,IL,1864,"Affair, Prairie de Rocher",April-16,April-16,MISSOURI--3d State Militia Cavalry (Detachment).,,,,,
,,IL,1864,"Operations, Shawneetown",Aug. 13,August-16,(No Reports).,,,,,
,,IN,1862,Raid on Newburg,July-16,July-16,Citizens.,,,,,
,,IN,1863,"Skirmish, Orleans",June-16,June-16,"INDIANA--Home Guard. Union loss, 3 wounded, 12 missing. Total, 15.",,,,,
,,IN,1863,"Skirmish, Blue Island near Leavenworth",June-16,June-16,INDIANA--Major Clendenin's Home Guard.,,,,,
,,IN,1863,"Skirmish, Corydon",July-16,July-16,"INDIANA--Home Guard. Union loss, 3 killed, 12 wounded, 345 missing. Total, 360.",,,,,
,,IN,1863,"Skirmish, Salem",July-16,July-16,INDIANA--Home Guard.,,,,,
,,IN,1863,"Skirmish, Pekin",July-16,July-16,INDIANA--Home Guard.,,,,,
,,IN,1863,"Skirmish, Vernon",July-16,July-16,INDIANA--Home Guard.,,,,,
,,IN,1864,Expedition from Mt. Vernon into Kentucky (Hovey's),Aug. 16,August-16,"INDIANA--32d and 46th Infantry (Non-Veterans). INDIANA LEGION--Detachments from Vanderburg, Warrick and Posey Counties.",,,,,
,,OH,1863,Affairs in Holmes County,June-16,June-16,OHIO--22d Indpt. Battery Light Arty. (Section), Governor's Guard, Exchanged prisoners.,,,
,,OH,1863,"Skirmish, Camp Dennison",July-16,July-16,"Militia, convalescents and miscellaneous Detachments. ",,,,,
,,OH,1863,"Skirmish, Lawrenceburg",July-16,July-16,"INDIANA--105 Minute Men. Union loss, 8 killed, 20 missing. Total, 28.",,,,,
,,OH,1863,Skirmish. Berlin,July-16,July-16,OHIO--Militia.,,,,,
,,OH,1863,"Action, Centreville",July-16,July-16,MICHIGAN--9th Cavalry.,,,,,
,,OH,1863,Skirmish near Hamden,July-16,July-16,OHIO--Militia.,,,,,
,,OH,1863,"Skirmish, Pomeroy",July-16,July-16,OHIO--23d Infantry.,,,,,
,,OH,1863,"Engagement, Buffington Island",July-16,July-16,"ILLINOIS---14th Cavalry; Henshaw's Indpt. Battery Light Arty. INDIANA--5th Cavalry. KENTUCKY--1st, 3d, 8th, 11th and 12th Cavalry. MICHIGAN--8th and 9th Cavalry. OHIO--2d and 7th Cavalry; 45th Infantry. TENNESSEE--2d Mounted Infantry; Militia and Gunboats. Union loss, 25 wounded.",,,,,
,,OH,1863,"Skirmish, Hockinport",July-16,July-16,OHIO--23d Infantry.,,,,,
,,OH,1863,"Skirmish, Coal Hill, near Cheshire",July-16,July-16,OHIO--45th Infantry.,,,,,
,,OH,1863,"Skirmish, Cheshire",July-16,July-16,INDIANA--65th Infantry.,,,,,
,,OH,1863,"Skirmish, Eaglesport",July-16,July-16,OHIO--86th Infantry.,,,,,
,,OH,1863,"Skirmish, Rockville",July-16,July-16,OHIO--Militia.,,,,,
,,OH,1863,"Skirmish, Washington",July-16,July-16,OHIO--Militia.,,,,,
,,OH,1863,"Skirmish, Athens",July-16,July-16,OHIO--Militia.,,,,,
,,OH,1863,"Skirmish, near Steubenville",July-16,July-16,PENNSYLVANIA--54th Militia.,,,,,
,,OH,1863,"Skirmish, Springfield",July-16,July-16,Citizens with Morgan.,,,,,
,,OH,1863,"Action, Salineville",July-16,July-16,MICHIGAN--9th Cavalry.,,,,,
,,OH,1863,"Action, New Lisbon",July-16,July-16,"INDIANA--15th Indpt. Battery Light Arty. KENTUCKY --1st, 9th, 11th and 12th Cavalry (Detachments). MICHIGAN--8th Cavalry; ""Morgan surrendered to Shackleford's Cavalry.""",,,,,
,,NY,1863,"Riots, New York City",July-16,July-16,"UNITED STATES--Battery ""C,"" 5th Arty.",,,,,
,,FR,1864,Action off Cherburg,June-16,June-16,"Kearsage and Alabama. Union loss, 3 wounded.",,,,,
,,MX,1864,"Affair, Matamoras",Jan. 12,January-16,WISCONSIN--20th Infantry.,,,,,
,,MX,1864,"Skirmish, foot of Sierra Bonita, near Presidio del Norte",April-16,April-16,"CALIFORNIA--1st Cavalry, Company ""A.""",,,,,
,,MX,1864,"Skirmish, foot of Sierra Bonita, near Presidio del Norte",April-16,April-16,"CALIFORNIA--1st Cavalry, Company ""A.""",,,,,
,,MX,1865,"Affair, Presidio del Norte",Jan. 21,January-16,(Confederate Reports.),,,,,
